symbol,probability,code
20,28900,00
65,13381,1101
74,10212,1011
61,8149,0111
6f,7965,0110
68,7088,11111
6e,6893,11110
69,6778,11100
73,6277,11001
72,5293,10101
64,4739,10010
6c,4615,10001
0d,3608,01000
0a,3608,01001
75,3402,111010
67,2446,101001
77,2437,101000
2c,2418,100111
63,2253,100001
79,2150,100000
66,1926,010110
6d,1907,010100
27,1761,1110111
70,1458,1100010
62,1383,1100000
60,1108,1001100
6b,1076,0101111
2e,977,0101011
76,803,11000111
49,733,11000110
2d,669,11000010
41,638,10011011
54,472,01010101
21,449,111011011
48,284,010111011
57,237,010101001
3a,233,010101000
53,218,1110110100
3f,202,1110110010
4d,200,1110110001
3b,194,1110110000
44,192,1100001111
45,188,1100001110
4f,176,1100001101
43,144,1001101000
78,144,1001101001
52,140,0101110101
6a,138,0101110100
71,125,0101110010
4e,120,0101110000
59,114,11101101011
22,113,11101101010
4c,98,11101100110
42,91,11000011001
51,84,11000011000
4b,82,10011010110
47,82,10011010111
7a,77,10011010101
46,74,10011010100
55,66,01011100110
50,64,01011100011
2a,60,01011100010
28,56,111011001111
29,55,111011001110
56,42,010111001111
4a,8,01011100111010
5f,4,010111001110110
58,4,010111001110111
5b,2,010111001110000
5d,2,010111001110001
32,1,0101110011100100
39,1,0101110011100101
5a,1,0101110011100110
1a,1,0101110011100111
